brandid,query,date,params,querytype
2,Jason Barnard,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Jason Barnard"",""returnType"":1}",basic
2,Jason Barnard Brand,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Jason Barnard Brand"",""returnType"":1}",qualifier
2,Who is Jason Barnard,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Jason Barnard"",""returnType"":1}",verboseaccurate
2,What are Jason Barnard professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Jason Barnard professions"",""returnType"":1}",professions
2,Who is Jason Barnard Brand,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Jason Barnard Brand"",""returnType"":1}",verboseaccurate
2,Who is the audience of Jason Barnard,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Jason Barnard"",""returnType"":1}",audience
81967,Wordlift,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Wordlift"",""returnType"":1}",basic
81967,Wordlift SEO,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Wordlift SEO"",""returnType"":1}",qualifier
81967,What is Wordlift,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Wordlift"",""returnType"":1}",verboseaccurate
81967,What is Wordlift SEO,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Wordlift SEO"",""returnType"":1}",qualifier
81967,Who is the audience of Wordlift,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Wordlift"",""returnType"":1}",audience
113237,Andrea Volpini,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Andrea Volpini"",""returnType"":1}",basic
113237,Andrea Volpini Wordlift,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Andrea Volpini Wordlift"",""returnType"":1}",qualifier
113237,Who is Andrea Volpini,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Andrea Volpini"",""returnType"":1}",verboseaccurate
113237,What are Andrea Volpini professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Andrea Volpini professions"",""returnType"":1}",professions
113237,Who is Andrea Volpini Wordlift,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Andrea Volpini Wordlift"",""returnType"":1}",verboseaccurate
113237,Who is the audience of Andrea Volpini,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Andrea Volpini"",""returnType"":1}",audience
